Période;Valeur;Code;Type;Sous-type;Base;Population;Zone concernée;Code COICOP;Désignation COICOP;Série arrêtée;Référence INSEE
2022-04-01;1.7;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France métropolitaine;;Services : Loyers, eau et enlèvement des ordures ménagères;Non;1768606
2022-04-01;2.8;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France;;Alimentation : Produits frais;Non;1768622
2022-04-01;0.8;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France;;Ensemble hors énergie;Non;1768637
2022-04-01;1.2;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;;Alimentation : Autres produits alimentaires;Non;1768656
2022-04-01;0.1;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;;Services : Communications;Non;1768673
2022-04-01;103.02;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guadeloupe;;Produits manufacturés;Non;1769696
2022-04-01;106.72;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guadeloupe;;Ensemble hors énergie;Non;1769711
2022-04-01;101.36;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guyane;;Services : Transports et communications;Non;1769753
2022-04-01;185.31;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;La réunion;;Produits frais;Non;1769766
2022-04-01;3.8;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France;;Alimentation;Non;1761326
2022-04-01;3.0;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France;;Services;Non;1761331
2022-05-01;145.0;A;Indice des prix à la consommation;Valeurs mensuelles;Base 100 en décembre 2006;Ensemble des ménages;Mayotte;;Énergie;Oui;1771751
2022-05-01;122.42;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;07;Transports;Non;1763387
2022-05-01;110.62;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;12;Biens et services divers;Non;1763408
2022-05-01;110.42;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;;Ensemble hors tabac;Non;1763415
2022-05-01;122.01;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.2.3;Mouton, agneau et chèvre;Non;1763431
2022-05-01;121.63;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.7.4;Pommes de terre;Non;1763466
